1 4 TRANS18270 tumblr_nqa2vmNmDX1up3l18o1_400 What does the man do after sing ?eat food	What does the man do after sing ?lean head back	What does the man do after sing ?drink	What does the man do after sing ?skip sidways	What does the man do after sing ?wave hand in front of face
3 0 TRANS55084 tumblr_n921a936fJ1tfax0ho1_500 What does the girl on left do after stare at guy ?touch guy's chin	What does the girl on left do after stare at guy ?walk backwards	What does the girl on left do after stare at guy ?run into wall	What does the girl on left do after stare at guy ?stop and look surprise	What does the girl on left do after stare at guy ?blow to the side
3 0 TRANS46927 tumblr_n8tdp9KZ8d1sp72gno1_500 What does the woman do before turn head ?stand	What does the woman do before turn head ?kiss man	What does the woman do before turn head ?kick rival	What does the woman do before turn head ?smile	What does the woman do before turn head ?blow it out
0 2 TRANS21663 tumblr_n8q7yzPdVO1tspnzbo1_400 What does the woman do before pull hair curl ?brush hair	What does the woman do before pull hair curl ?swing hips	What does the woman do before pull hair curl ?talk on phone	What does the woman do before pull hair curl ?bend over	What does the woman do before pull hair curl ?lift left babel up
4 2 TRANS29093 tumblr_no7f3olx4g1s373hwo1_400 What does the man do before lean against the counter ?sing into microphone	What does the man do before lean against the counter ?smile	What does the man do before lean against the counter ?drop a plate	What does the man do before lean against the counter ?dance	What does the man do before lean against the counter ?pose for the camera
3 1 TRANS19998 tumblr_njzzpdnbbK1qg8ndeo1_400 What does the lady do after jump ?adjust position to sit	What does the lady do after jump ?dance	What does the lady do after jump ?wipe nose	What does the lady do after jump ?tip boat	What does the lady do after jump ?brush hair with hand
1 0 TRANS41302 tumblr_ndtm8zH5Qo1tbmi9ho1_400 What does the man do after stand with back face to the screen ?dance and turn around	What does the man do after stand with back face to the screen ?point arm forward	What does the man do after stand with back face to the screen ?lift head	What does the man do after stand with back face to the screen ?close a box	What does the man do after stand with back face to the screen ?drop it
0 1 TRANS7912 tumblr_nfcqe0xayI1tku8lpo1_250 What does the man do after look forward ?blink eyes	What does the man do after look forward ?raise eyebrowns	What does the man do after look forward ?purse lips	What does the man do after look forward ?exhale smoke	What does the man do after look forward ?clench lips
1 2 TRANS51538 tumblr_nh7vnlXEvL1u6fg3no1_500 What does the lady do after dance ?run forward	What does the lady do after dance ?point finger	What does the lady do after dance ?sing	What does the lady do after dance ?open door	What does the lady do after dance ?push him
2 3 TRANS30761 tumblr_ncucg1HZfU1twn2sfo1_400 What does the man do before step back ?watch an animal	What does the man do before step back ?slide downward	What does the man do before step back ?looks back	What does the man do before step back ?raise hand	What does the man do before step back ?inside car
0 2 TRANS14627 tumblr_niug00kIQZ1tu05oyo1_400 What does the man in hat do before start walk ?talk	What does the man in hat do before start walk ?on ramp	What does the man in hat do before start walk ?bend body toward a person	What does the man in hat do before start walk ?at the bottom of the stairs	What does the man in hat do before start walk ?read book
4 1 TRANS36132 tumblr_nrlc3i7KYK1sqiy4oo1_400 What does the guy in back do after raise arm ?speak	What does the guy in back do after raise arm ?bounce	What does the guy in back do after raise arm ?eat the chicken	What does the guy in back do after raise arm ?open eyes wide	What does the guy in back do after raise arm ?talk when camera zoom in
4 0 TRANS41093 tumblr_na245llSHb1svwr57o1_500 What does the woman on the right do before bump head with a man on the left ?smile	What does the woman on the right do before bump head with a man on the left ?run with pole	What does the woman on the right do before bump head with a man on the left ?hit wall with broom	What does the woman on the right do before bump head with a man on the left ?kick leg	What does the woman on the right do before bump head with a man on the left ?drop it
4 2 TRANS39984 tumblr_npp2j48dG51sbzhteo1_400 What does the wrestler do after grab opponent ?look down	What does the wrestler do after grab opponent ?smile	What does the wrestler do after grab opponent ?slam to canvas	What does the wrestler do after grab opponent ?happy	What does the wrestler do after grab opponent ?have picture take of him
0 3 TRANS33153 tumblr_nb9zafvwGL1rl5d36o1_500 What does the man do before lower hand ?sing	What does the man do before lower hand ?dig	What does the man do before lower hand ?eat	What does the man do before lower hand ?hand raise behind him	What does the man do before lower hand ?fail to kick a ball
4 3 TRANS27538 tumblr_nc78edgusr1tdajioo1_400 What does the man do after smile ?bend over	What does the man do after smile ?lick lips	What does the man do after smile ?slide	What does the man do after smile ?have a flower in mouth	What does the man do after smile ?hug
4 0 TRANS8787 tumblr_nk1185ppMf1sq9ji8o1_500 What does the front man of a group do before touch ground ?pump arm	What does the front man of a group do before touch ground ?smile together	What does the front man of a group do before touch ground ?drift	What does the front man of a group do before touch ground ?happy	What does the front man of a group do before touch ground ?talk to team member
2 0 TRANS19941 tumblr_n930rehOiH1t3eg01o1_400 What does the girl with long hair do before play with dog ?open mouth	What does the girl with long hair do before play with dog ?fade to black	What does the girl with long hair do before play with dog ?shake a doll	What does the girl with long hair do before play with dog ?shock	What does the girl with long hair do before play with dog ?skip leg
1 2 TRANS50169 tumblr_nknodg8h931slwpo8o1_250 What does the cat do before stand up ?touch man's back	What does the cat do before stand up ?pick up cat	What does the cat do before stand up ?lie down	What does the cat do before stand up ?start smile	What does the cat do before stand up ?grab shirt
4 2 TRANS44677 tumblr_nc5w7tHQNO1s71nvbo1_400 What does the man do before close mouth ?place it on top of deck	What does the man do before close mouth ?step backwards	What does the man do before close mouth ?scream	What does the man do before close mouth ?raise arm helplessly	What does the man do before close mouth ?open eye
3 4 TRANS9635 tumblr_nfs3zdVBpy1u2uoslo1_250 What does the man do before smile at another boy ?sway hips	What does the man do before smile at another boy ?blink	What does the man do before smile at another boy ?shimmy	What does the man do before smile at another boy ?shake head	What does the man do before smile at another boy ?open door
3 0 TRANS48863 tumblr_ngr167mT8j1tuuziuo1_400 What does the man do before blow kiss ?stick tongue out	What does the man do before blow kiss ?raise eyebrows	What does the man do before blow kiss ?open eye slowly	What does the man do before blow kiss ?smile	What does the man do before blow kiss ?close mouth
4 2 TRANS26344 tumblr_n9mv3bqKHc1rbrf4xo1_250 What does the singer do after raise hand up ?fix glass	What does the singer do after raise hand up ?reach towards a man	What does the singer do after raise hand up ?dance	What does the singer do after raise hand up ?pass to the right side of a tower	What does the singer do after raise hand up ?lower microphone
1 4 TRANS27545 tumblr_ngqv0fIvLp1qd80wyo1_400 What does the man do before stand up ?dance	What does the man do before stand up ?lean back	What does the man do before stand up ?drag head on ground	What does the man do before stand up ?spin around	What does the man do before stand up ?sign picture
0 3 TRANS54320 tumblr_mqo6xutcFO1r5tdi2o1_400 What does the man do after walk backwards ?throw hand up	What does the man do after walk backwards ?shake head	What does the man do after walk backwards ?smile	What does the man do after walk backwards ?open door	What does the man do after walk backwards ?stick out tongue
0 1 TRANS25664 tumblr_ni18y9DZq31tdik63o1_400 What does the woman do after put leg down ?lower down to floor	What does the woman do after put leg down ?kiss a man	What does the woman do after put leg down ?run	What does the woman do after put leg down ?running back in the kitchen	What does the woman do after put leg down ?work properly
3 4 TRANS57357 tumblr_nfykv0aK2g1u51u27o1_400 What does the person do before look at their hand ?point right	What does the person do before look at their hand ?smile	What does the person do before look at their hand ?jump back into the hamper	What does the person do before look at their hand ?walk towards wall	What does the person do before look at their hand ?bring right arm down
