4 1 TRANS18865 tumblr_nddzrcdJsV1s4kr0bo1_400 What does the man do before bow head ?point finger up	What does the man do before bow head ?sing a song	What does the man do before bow head ?remove goggle	What does the man do before bow head ?tip over	What does the man do before bow head ?lower arm
3 1 TRANS20364 tumblr_n9znvoHWja1shpnybo1_400 What does the lady do after hug boy ?lean backward	What does the lady do after hug boy ?wave	What does the lady do after hug boy ?eat a strawberry	What does the lady do after hug boy ?tie up	What does the lady do after hug boy ?fit foot in shoe
1 3 TRANS24525 tumblr_nd59lk8wV51rvlzjoo1_400 What does the woman do before shoot arrow ?wet by water	What does the woman do before shoot arrow ?hug other man	What does the woman do before shoot arrow ?lick lips	What does the woman do before shoot arrow ?aim	What does the woman do before shoot arrow ?rock head
2 4 TRANS7669 tumblr_nk43srE90O1t7ej2to1_250 What does the woman in brown jacket do before hold hand ?skate down the ramp	What does the woman in brown jacket do before hold hand ?remove something in a whiteboard	What does the woman in brown jacket do before hold hand ?shake head	What does the woman in brown jacket do before hold hand ?clap hand	What does the woman in brown jacket do before hold hand ?cross arm
3 2 TRANS21112 tumblr_n9lg2kfH5D1stp9t8o1_400 What does the man do after stand away ?enter bathroom	What does the man do after stand away ?act like shooting something from a guitar	What does the man do after stand away ?lean in and kiss woman	What does the man do after stand away ?hit him	What does the man do after stand away ?chase it around box
4 1 TRANS39051 tumblr_nrerm4Sqhh1r44co8o1_400 What does the man do before throw case on floor ?ride skateboard through the air	What does the man do before throw case on floor ?remove a cd from case	What does the man do before throw case on floor ?smile	What does the man do before throw case on floor ?laugh	What does the man do before throw case on floor ?swing hand to foward
2 0 TRANS13932 tumblr_nqw4at9cu21sxecxyo1_500 What does the man do after sing and play guitar ?show hook 'em horn sign on a hand	What does the man do after sing and play guitar ?lean against wall	What does the man do after sing and play guitar ?hug to a man	What does the man do after sing and play guitar ?dive to hit ball	What does the man do after sing and play guitar ?pinch finger
3 2 TRANS10843 tumblr_n8qp6qt1ZD1qa2n7ao1_400 What does the woman do before bend head towards right shoulder ?straighten collar	What does the woman do before bend head towards right shoulder ?paw at the computer	What does the woman do before bend head towards right shoulder ?roll eye	What does the woman do before bend head towards right shoulder ?smiles	What does the woman do before bend head towards right shoulder ?twirl the phone
1 4 TRANS28881 tumblr_nogk5y4GWe1uvzfbqo1_400 What does the man do before lower chair ?fight a man	What does the man do before lower chair ?raise up	What does the man do before lower chair ?eat candy	What does the man do before lower chair ?speak	What does the man do before lower chair ?slide chair
0 4 TRANS47586 tumblr_nhnn659Pax1r3k2tko1_500 What does the woman do after touch hair ?raise hand	What does the woman do after touch hair ?run	What does the woman do after touch hair ?kick it into the air	What does the woman do after touch hair ?drop mic	What does the woman do after touch hair ?smile
4 0 TRANS40760 tumblr_n9uscu0MKn1tdve1no1_r1_500 What does the man on right do after make a peace sign ?wave hand	What does the man on right do after make a peace sign ?pick up tape	What does the man on right do after make a peace sign ?shoot	What does the man on right do after make a peace sign ?walk down the step on two legs	What does the man on right do after make a peace sign ?sit with normal face
4 2 TRANS28307 tumblr_ni2gaft02A1u3mx44o1_250 What does the man do before hit with head ?show a page	What does the man do before hit with head ?eye open	What does the man do before hit with head ?throw item up	What does the man do before hit with head ?smile slowly	What does the man do before hit with head ?pose
4 1 TRANS38073 tumblr_ni11vxPmR71stuueeo1_400 What does the woman do before smoke cigarette ?shake hair	What does the woman do before smoke cigarette ?open mouth	What does the woman do before smoke cigarette ?spin	What does the woman do before smoke cigarette ?laugh	What does the woman do before smoke cigarette ?pretend to bite the doll
0 1 TRANS57348 tumblr_nr1hscYbC31sqpuloo1_540 What does the man do after smile ?close mouth	What does the man do after smile ?shake shoulder	What does the man do after smile ?run finger through hair	What does the man do after smile ?point gun	What does the man do after smile ?catch fire
2 4 TRANS20184 tumblr_ndg6jfOZY31rcwrblo1_400 What does the man who wear a white coat do after turn around ?tip toe down step	What does the man who wear a white coat do after turn around ?point arm	What does the man who wear a white coat do after turn around ?stretch legs up	What does the man who wear a white coat do after turn around ?lower arm	What does the man who wear a white coat do after turn around ?sing a song
2 1 TRANS58139 tumblr_nb93xscurq1svk8nmo1_1280 What does the couple do before move their face closer together ?throw spike at man	What does the couple do before move their face closer together ?maintain some difference	What does the couple do before move their face closer together ?smile at camera	What does the couple do before move their face closer together ?pick up man in black short	What does the couple do before move their face closer together ?jump off the cage
2 0 TRANS8790 tumblr_nbwjgeL6Ak1tlms2ko1_400 What does the woman with red hair do after smile ?wave	What does the woman with red hair do after smile ?thrust hips	What does the woman with red hair do after smile ?wink	What does the woman with red hair do after smile ?hunch	What does the woman with red hair do after smile ?cluster with bouquet
0 1 TRANS57197 tumblr_nhy4mwvSbf1u05z12o1_500 What does the lady do before dance with man ?move hand	What does the lady do before dance with man ?drink from glass	What does the lady do before dance with man ?close the door car	What does the lady do before dance with man ?run on a field	What does the lady do before dance with man ?push glass up
3 2 TRANS52303 tumblr_nh2a6rTXy61th93mpo1_r1_500 What does the woman in background do before lean back ?open mouth	What does the woman in background do before lean back ?raise hand	What does the woman in background do before lean back ?stick out tongue	What does the woman in background do before lean back ?smile	What does the woman in background do before lean back ?close eye
0 1 TRANS34978 tumblr_nhzjwxHnfP1rc9onbo1_400 What does the woman on front do after look ahead ?lean to right	What does the woman on front do after look ahead ?wave at camera	What does the woman on front do after look ahead ?eat it out of hand	What does the woman on front do after look ahead ?stay still	What does the woman on front do after look ahead ?lose balance and fall
0 4 TRANS40294 tumblr_na3hdtVIP41qd6ugto1_500 What does the boy do after chew ?touch face	What does the boy do after chew ?spin a hat	What does the boy do after chew ?step forward	What does the boy do after chew ?lift arm	What does the boy do after chew ?eat something else
0 4 TRANS54345 tumblr_nqdyvfvVsB1u3j7l3o1_500 What does the man do before raise hand up ?grab woman's chin	What does the man do before raise hand up ?pick up gun	What does the man do before raise hand up ?touch another man's body	What does the man do before raise hand up ?start running	What does the man do before raise hand up ?lie on grass
4 3 TRANS18530 tumblr_nknwol9MTw1rr3vzso1_400 What does the man in middle do after lean back ?appear upset	What does the man in middle do after lean back ?above the hand	What does the man in middle do after lean back ?enter door	What does the man in middle do after lean back ?kick up legs	What does the man in middle do after lean back ?lower head
3 4 TRANS33916 tumblr_n9qqt7ckM71t0k260o1_400 What does the man do after wipe face ?scream	What does the man do after wipe face ?shake head	What does the man do after wipe face ?kiss her	What does the man do after wipe face ?hug girl	What does the man do after wipe face ?point at crowd
3 0 TRANS29052 tumblr_ngjta5hDwR1qju6n5o1_500 What does the man do after run ?look up	What does the man do after run ?drink ceasar beverage	What does the man do after run ?lift brow	What does the man do after run ?bend down	What does the man do after run ?dance
3 1 TRANS1756 tumblr_ngsm91Asda1sxvooxo1_250 What does the man do after walk ?dance	What does the man do after walk ?grab a woman's arm	What does the man do after walk ?peek in room	What does the man do after walk ?act surprise	What does the man do after walk ?stomp feet backwards
0 2 TRANS18269 tumblr_nqa2vmNmDX1up3l18o1_400 What does the man do before wave hand in front of face ?point at screen	What does the man do before wave hand in front of face ?remove cigarette from mouth	What does the man do before wave hand in front of face ?sing	What does the man do before wave hand in front of face ?lower hand	What does the man do before wave hand in front of face ?tip forward slowly
2 0 TRANS1107 tumblr_n9ycr8zaLA1to7bdco1_250 What does the woman do before extend arm ?adjust bowtie	What does the woman do before extend arm ?perch on a person	What does the woman do before extend arm ?scream in fear	What does the woman do before extend arm ?startle by person	What does the woman do before extend arm ?destroy the rest of the tower
