0 2 TRANS55506 tumblr_n9uhj2zN6Q1qzj918o1_500 What does the man do after hold up microphone ?touch	What does the man do after hold up microphone ?walk up to boy	What does the man do after hold up microphone ?blow kiss	What does the man do after hold up microphone ?open eye	What does the man do after hold up microphone ?talk on phone
4 2 TRANS28832 tumblr_npw5hmxHZ21tbfrz9o1_540 What does the woman in red scarf do after nod head ?watch	What does the woman in red scarf do after nod head ?play a drum	What does the woman in red scarf do after nod head ?lean forward	What does the woman in red scarf do after nod head ?sing	What does the woman in red scarf do after nod head ?show sign of peace
0 2 TRANS52394 tumblr_nhg1prJJSf1u75yfvo1_500 What does the man do after hold hand to mouth ?touch hair	What does the man do after hold hand to mouth ?walk in to small room	What does the man do after hold hand to mouth ?blow a kiss at camera	What does the man do after hold hand to mouth ?open mouth wide	What does the man do after hold hand to mouth ?raise finger gun
1 4 TRANS31993 tumblr_nb0ddycVlC1rvh5yko1_500 What does the man do before close eye ?hug	What does the man do before close eye ?smile	What does the man do before close eye ?sing	What does the man do before close eye ?dance	What does the man do before close eye ?drop a liquid
1 4 TRANS35138 tumblr_npbx8sIsp91r7h56fo1_400 What does the man do after squat ?straight face	What does the man do after squat ?slide down hill	What does the man do after squat ?bite a towel	What does the man do after squat ?kiss finger	What does the man do after squat ?raise head
3 2 TRANS7063 tumblr_ncxt8dclgR1tdmffyo1_400 What does the man do before fall off skateboard ?blank face	What does the man do before fall off skateboard ?remove from mouth	What does the man do before fall off skateboard ?ride a skateboard	What does the man do before fall off skateboard ?skate down ramp	What does the man do before fall off skateboard ?peer forward
4 3 TRANS2379 tumblr_n9hseziTAg1rk979lo1_250 What does the guy in back do before hide ?twirl pool cue	What does the guy in back do before hide ?motor in the water	What does the guy in back do before hide ?record the stage	What does the guy in back do before hide ?sneak up behind	What does the guy in back do before hide ?support friend
0 1 TRANS23457 tumblr_nk2oloM7qY1tq4orpo1_400 What does the woman do before turn head to the side ?listen face	What does the woman do before turn head to the side ?face forward	What does the woman do before turn head to the side ?swing forward	What does the woman do before turn head to the side ?ride a surf board across pool	What does the woman do before turn head to the side ?drink from cup
2 4 TRANS40000 tumblr_ndz2blSzVT1tlgy1jo1_400 What does the young man do after face camera ?raise hand	What does the young man do after face camera ?close	What does the young man do after face camera ?begin scared	What does the young man do after face camera ?have hand over face	What does the young man do after face camera ?flip head down
3 2 TRANS58616 tumblr_npnyxidXvB1uxh7dyo1_540 What does the girl do after laugh ?point arm up	What does the girl do after laugh ?run to the swing	What does the girl do after laugh ?clap hands	What does the girl do after laugh ?close mouth	What does the girl do after laugh ?fall to ground
0 1 TRANS33425 tumblr_nklw53j39a1r73l22o1_400 What does the man do before start jump ?sing	What does the man do before start jump ?point with one hand	What does the man do before start jump ?shake head	What does the man do before start jump ?kiss someone	What does the man do before start jump ?breathe
3 1 TRANS50608 tumblr_ndi56898WC1s52tx6o1_500 What does the woman do after peace sign ?smile	What does the woman do after peace sign ?raise expand hand	What does the woman do after peace sign ?touch a man's neck	What does the woman do after peace sign ?head bow	What does the woman do after peace sign ?laugh
0 3 TRANS48994 tumblr_n93oox0VfY1s824qjo1_r1_400 What does the person do after kiss finger ?sit still	What does the person do after kiss finger ?pick up object	What does the person do after kiss finger ?walk	What does the person do after kiss finger ?wave them at the camera	What does the person do after kiss finger ?laugh
4 1 TRANS38872 tumblr_nklfp2TT031t0qj4zo1_400 What does the man do after make a hand gesture ?bite tongue	What does the man do after make a hand gesture ?start to rap	What does the man do after make a hand gesture ?kiss a man on the left	What does the man do after make a hand gesture ?smile at cam	What does the man do after make a hand gesture ?lift pant up
1 2 TRANS34876 tumblr_nnunhrJl321u4f3j0o1_540 What does the man do after shake hand ?hug man	What does the man do after shake hand ?lean back	What does the man do after shake hand ?fix a tie	What does the man do after shake hand ?draw mustache on face with whip cream	What does the man do after shake hand ?kiss dog
1 2 TRANS16679 tumblr_npjox4Klua1uwrqzco1_400 What does the man do before drink from can ?lower both arm	What does the man do before drink from can ?appear in white	What does the man do before drink from can ?blow kiss	What does the man do before drink from can ?dance	What does the man do before drink from can ?pet a kitten
3 1 TRANS36098 tumblr_nl0b1fP4gV1tkr178o1_400 What does the elephant with a hat do after slap friend's hand ?lean woman back	What does the elephant with a hat do after slap friend's hand ?play the guitar	What does the elephant with a hat do after slap friend's hand ?lift a clothe up	What does the elephant with a hat do after slap friend's hand ?bend body	What does the elephant with a hat do after slap friend's hand ?bite finger
3 1 TRANS40561 tumblr_ncdocwevQG1sfz1a5o1_500 What does the lady do before smile ?kiss man	What does the lady do before smile ?lower microphone	What does the lady do before smile ?smile	What does the lady do before smile ?talk	What does the lady do before smile ?kick a ball
2 1 TRANS46131 tumblr_n9aykw5gk31ts2zxro1_400 What does the woman do before nod at camera ?open mouth	What does the woman do before nod at camera ?shake shoulder	What does the woman do before nod at camera ?close mouth	What does the woman do before nod at camera ?run	What does the woman do before nod at camera ?point a gun
4 0 TRANS57741 tumblr_nbxgairu4F1slwrsuo1_400 What does the dog do before pull up a cover ?lie on a bed	What does the dog do before pull up a cover ?pick ice	What does the dog do before pull up a cover ?start smile	What does the dog do before pull up a cover ?grab lady head	What does the dog do before pull up a cover ?jump on ledge
4 3 TRANS17248 tumblr_nhjba06VKF1sh76iyo1_400 What does the man do after bounce to the left ?read a book	What does the man do after bounce to the left ?drink from glass	What does the man do after bounce to the left ?become shy	What does the man do after bounce to the left ?bounce to the right	What does the man do after bounce to the left ?person hold dog
4 2 TRANS54631 tumblr_n8vrm1O4dM1sjzzndo1_250 What does the man do before turn away ?point a gun at the camera	What does the man do before turn away ?run away	What does the man do before turn away ?kiss girl	What does the man do before turn away ?start wave hand	What does the man do before turn away ?open
1 0 TRANS54434 tumblr_ncczjfdwFt1tav0gmo1_500 What does the man do after look calm ?stretch out arms	What does the man do after look calm ?talk	What does the man do after look calm ?smile	What does the man do after look calm ?say something	What does the man do after look calm ?touch hair
4 3 TRANS27737 tumblr_n94f8ilpLQ1t0knigo1_500 What does the man with guitar do before raise hand in the air ?smoke cigarette	What does the man with guitar do before raise hand in the air ?lean head back	What does the man with guitar do before raise hand in the air ?stare at a man on right	What does the man with guitar do before raise hand in the air ?play music	What does the man with guitar do before raise hand in the air ?hug another person's hand
1 0 TRANS49870 tumblr_np49o2tB721try7qyo1_250 What does the boy do after hold hand on chest ?hit chest with fist	What does the boy do after hold hand on chest ?smile	What does the boy do after hold hand on chest ?lie on the ground	What does the boy do after hold hand on chest ?talk on the phone	What does the boy do after hold hand on chest ?open eye
0 4 TRANS46585 tumblr_nhpmgxxX6U1u66cs6o1_400 What does the woman do before turn around ?touch neck	What does the woman do before turn around ?smile	What does the woman do before turn around ?kiss her	What does the woman do before turn around ?shake head	What does the woman do before turn around ?run
1 3 TRANS47243 tumblr_nndv1cM5f01rlxo2so1_500 What does the woman do before touch chest ?run away	What does the woman do before touch chest ?talk into banana	What does the woman do before touch chest ?jump up	What does the woman do before touch chest ?hand down	What does the woman do before touch chest ?kick a ball
4 3 TRANS51516 tumblr_nbf91jwgZX1qzrg8co1_400 What does the man do after back up ?raise eye	What does the man do after back up ?talk into microphone	What does the man do after back up ?smile	What does the man do after back up ?grab a sledge hammer	What does the man do after back up ?fall over
2 1 TRANS50052 tumblr_nmctp8E72g1rhpmtko1_400 What does the man do after fall ?smile	What does the man do after fall ?fly up	What does the man do after fall ?raise microphone	What does the man do after fall ?face straight ahead	What does the man do after fall ?talk
2 1 TRANS3957 tumblr_naov96U3cP1qd0x24o1_250 What does the man in black hat do before bust out laugh ?raise hand	What does the man in black hat do before bust out laugh ?stare intently	What does the man in black hat do before bust out laugh ?transform face	What does the man in black hat do before bust out laugh ?paw at toy	What does the man in black hat do before bust out laugh ?skate
1 3 TRANS58292 tumblr_ner52sAXiZ1u2omz2o1_500 What does the boy do after turn head to right ?stick out tongue	What does the boy do after turn head to right ?smile	What does the boy do after turn head to right ?throw baseball pitch	What does the boy do after turn head to right ?open eyes	What does the boy do after turn head to right ?jump across the stairs
